ID,IPK,TAHUN LULUS,PROFESI PEKERJAAN
Alumni001,3.61,2020,System Analyst
Alumni002,3.55,2020,Software Quality Assurance Engineer
Alumni003,3.30,2020,Software Engineer
Alumni004,3.10,2020,Data Engineer
Alumni005,3.26,2020,Software Engineer
Alumni006,3.29,2020,IT Project Manager
Alumni007,3.25,2020,Data Analyst
Alumni008,3.36,2020,Network Engineer
Alumni009,3.67,2020,Software Quality Assurance Engineer
Alumni010,3.87,2020,Graphic Designer
Alumni011,3.38,2020,Software Engineer
Alumni012,3.43,2020,Software Developer
Alumni013,3.72,2020,Software Developer
Alumni014,3.60,2020,Software Quality Assurance Engineer
Alumni015,3.19,2020,Software Developer
Alumni016,3.57,2020,Software Quality Assurance Engineer
Alumni017,3.36,2020,Software Quality Assurance Engineer
Alumni018,3.31,2020,Data Engineer
Alumni019,3.09,2020,Software Engineer
Alumni020,3.32,2020,Graphic Designer
Alumni021,3.20,2020,Software Quality Assurance Engineer
Alumni022,3.60,2020,Software Quality Assurance Engineer
Alumni023,3.65,2020,Database Administrator
Alumni024,3.07,2020,Cyber Security Analyst
Alumni025,3.90,2020,Software Developer
Alumni026,3.41,2020,Network Engineer
Alumni027,3.78,2020,Software Quality Assurance Engineer
Alumni028,3.51,2020,Software Quality Assurance Engineer
Alumni029,3.61,2020,Software Quality Assurance Engineer
Alumni030,3.67,2020,Software Engineer
Alumni031,3.83,2020,Software Quality Assurance Engineer
Alumni032,3.57,2020,Software Developer
Alumni033,3.53,2020,Software Engineer
Alumni034,3.38,2020,Data Analyst
Alumni035,3.26,2020,Software Engineer
Alumni036,3.21,2020,Data Scientist
Alumni037,3.07,2020,Software Engineer
Alumni038,3.52,2020,Software Engineer
Alumni039,3.33,2020,Software Engineer
Alumni040,3.45,2020,Software Quality Assurance Engineer
Alumni041,3.26,2020,Software Quality Assurance Engineer
Alumni042,3.37,2020,System Analyst
Alumni043,3.35,2020,Software Engineer
Alumni044,3.22,2020,Data Scientist
Alumni045,3.97,2020,Software Developer
Alumni046,3.40,2020,Data Engineer
Alumni047,3.27,2020,Software Engineer
Alumni048,3.01,2020,Software Developer
Alumni049,3.26,2020,Software Developer
Alumni050,3.44,2020,Software Developer
Alumni051,3.34,2020,Graphic Designer
Alumni052,3.43,2020,Software Quality Assurance Engineer
Alumni053,3.35,2020,Software Developer
Alumni054,3.20,2020,Software Developer
Alumni055,3.05,2020,Software Developer
Alumni056,3.26,2020,Software Quality Assurance Engineer
Alumni057,3.40,2020,Software Quality Assurance Engineer
Alumni058,3.28,2020,Software Quality Assurance Engineer
Alumni059,3.23,2020,Software Developer
Alumni060,3.34,2020,Software Developer
Alumni061,3.48,2020,Database Administrator
Alumni062,3.43,2020,Software Engineer
Alumni063,3.26,2020,Software Developer
Alumni064,3.53,2020,IT Project Manager
Alumni065,3.77,2020,Data Engineer
Alumni066,3.44,2020,Software Quality Assurance Engineer
Alumni067,3.64,2020,Data Engineer
Alumni068,3.54,2020,Software Engineer
Alumni069,3.65,2020,Software Developer
Alumni070,3.59,2020,Software Developer
Alumni071,3.86,2020,Product Designer
Alumni072,3.25,2020,System Analyst
Alumni073,3.68,2020,Data Analyst
Alumni074,3.17,2020,Software Developer
Alumni075,3.82,2020,Software Quality Assurance Engineer
Alumni076,3.09,2020,Data Analyst
Alumni077,3.03,2020,IT Project Manager
Alumni078,3.35,2020,Software Quality Assurance Engineer
Alumni079,3.83,2020,IT Project Manager
Alumni080,3.36,2020,Software Quality Assurance Engineer
Alumni081,3.79,2020,Software Quality Assurance Engineer
Alumni082,3.34,2020,Database Administrator
Alumni083,3.32,2020,Software Quality Assurance Engineer
Alumni084,3.79,2020,Software Quality Assurance Engineer
